x,y,z
1.531368,0.032345,-0.353623
1.527562,0.032265,0.080074
1.527071,0.032254,-0.296899
1.531806,0.032354,0.134046
1.538475,0.032495,-0.243725
1.544057,0.032613,0.189629
1.530165,0.032320,-0.187923
1.520701,0.032120,0.240909
1.545749,0.032649,-0.135266
1.523146,0.032171,0.296136
1.537547,0.032475,-0.080597
1.513833,0.031975,0.349574
1.521429,0.032135,-0.026563
1.512303,0.031942,0.405311
1.288258,0.027210,-0.345265
1.521429,0.032135,0.026563
1.539161,0.032510,-0.355423
1.535550,0.032433,0.080493
1.529034,0.032296,-0.297280
1.537782,0.032480,0.134568
1.534525,0.032412,-0.243099
1.544057,0.032613,0.189629
1.536119,0.032445,-0.188654
1.520701,0.032120,0.240909
1.525830,0.032228,-0.133523
1.509406,0.031881,0.293464
1.541540,0.032560,-0.080807
1.521627,0.032139,0.351374
1.533424,0.032388,-0.026772
1.504577,0.031779,0.403240
1.280532,0.027047,-0.343194
1.533424,0.032388,0.026772
1.531368,0.032345,-0.353623
1.527562,0.032265,0.080074
1.527071,0.032254,-0.296899
1.531806,0.032354,0.134046
1.538475,0.032495,-0.243725
1.544057,0.032613,0.189629
1.530165,0.032320,-0.187923
1.520701,0.032120,0.240909
1.545749,0.032649,-0.135266
1.523146,0.032171,0.296136
1.537547,0.032475,-0.080597
1.513833,0.031975,0.349574
1.521429,0.032135,-0.026563
1.512303,0.031942,0.405311
1.288258,0.027210,-0.345265
1.521429,0.032135,0.026563
1.539161,0.032510,-0.355423
1.535550,0.032433,0.080493
1.529034,0.032296,-0.297280
1.537782,0.032480,0.134568
1.534525,0.032412,-0.243099
1.544057,0.032613,0.189629
1.536119,0.032445,-0.188654
1.520701,0.032120,0.240909
1.525830,0.032228,-0.133523
1.509406,0.031881,0.293464
1.541540,0.032560,-0.080807
1.521627,0.032139,0.351374
1.533424,0.032388,-0.026772
1.504577,0.031779,0.403240
1.272705,0.031326,-0.341124
1.521307,0.037446,0.026563
1.531246,0.037690,-0.353623
1.539420,0.037891,0.080702
1.534800,0.037778,-0.298425
1.523716,0.037505,0.133348
1.522554,0.037476,-0.241222
1.541950,0.037954,0.189385
1.537981,0.037856,-0.188897
1.520579,0.037428,0.240909
1.541642,0.037946,-0.134917
1.499472,0.036908,0.291556
1.539420,0.037891,-0.080702
1.529298,0.037642,0.353173
1.541298,0.037938,-0.026912
1.510250,0.037173,0.404793
1.276567,0.031422,-0.342159
1.523306,0.037495,0.026597
1.523453,0.037498,-0.351823
1.535427,0.037793,0.080493
1.530875,0.037681,-0.297662
1.547618,0.038093,0.135440
1.528479,0.037622,-0.242161
1.528058,0.037612,0.187679
1.534012,0.037758,-0.188410
1.532428,0.037719,0.242786
1.545626,0.038044,-0.135266
1.509285,0.037150,0.293464
1.511467,0.037203,-0.079237
1.529298,0.037642,0.353173
1.541298,0.037938,-0.026912
1.517976,0.037364,0.406864
1.272705,0.031326,-0.341124
1.521307,0.037446,0.026563
1.531246,0.037690,-0.353623
1.539420,0.037891,0.080702
1.534800,0.037778,-0.298425
1.523716,0.037505,0.133348
1.522554,0.037476,-0.241222
1.541950,0.037954,0.189385
1.537981,0.037856,-0.188897
1.520579,0.037428,0.240909
1.541642,0.037946,-0.134917
1.499472,0.036908,0.291556
